affix	base_pos
ab	J
a	J
in	J
homo	J
multi	J
hetero	J
bi	J
des	V
kilo	N
ultra	N
cromo	N
a	N
re	V
anti	J
quiro	N
micro	N
circun	J
uni	J
re	N
aero	N
uro	J
anti	N
homeo	N
para	J
narco	N
a	V
tele	N
auto	N
per	V
sobre	V
mal	N
super	N
in	N
des	N
inter	J
extra	J
ex	N
en	V
cardio	J
antero	J
pan	N
audio	J
osteo	N
neo	J
es	N
pre	N
pre	J
con	V
dis	V
co	V
pre	V
entre	V
es	V
dis	N
mal	V
so	V
sub	V
tras	V
sobre	N
bio	J
gastro	J
gastro	N
deca	N
sub	J
post	J
tri	J
hiper	N
a	R
foto	N
foto	J
bis	N
tras	N
astro	N
tecno	J
per	N
ferro	N
radio	N
oligo	N
sobre	J
eco	N
fito	J
entero	N
endo	J
electro	J
inter	N
supra	J
neuro	N
homo	N
sub	N
agro	N
hetero	N
socio	J
pan	J
mili	N
hecto	N
ciclo	N
adeno	N
bi	N
an	J
psico	N
omni	N
omni	J
archi	N
in	V
contra	N
hidro	N
en	N
retro	J
cerebro	J
arqui	N
intra	J
pos	N
anfi	N
lipo	N
mini	N
orbito	J
des	J
parieto	J
ante	N
psico	J
infra	J
poli	N
ante	V
co	N
cosmo	N
fisio	N
ultra	J
peri	J
auto	J
trans	J
utero	J
pluri	J
hemato	N
vice	N
ítalo	J
dorso	J
bio	N
euro	N
fronto	J
meta	J
retro	N
quimio	N
hipo	N
tri	N
helio	J
semi	J
pseudo	N
supra	N
poli	J
geo	N
condro	N
fito	N
mega	N
termo	J
electro	N
inmuno	N
hidro	J
aero	J
genito	J
quilo	N
fosfo	N
piro	N
mono	N
glico	N
con	N
adreno	J
seudo	N
xilo	N
meta	N
pseudo	J
bacterio	N
di	N
organo	N
cito	N
penta	N
ciano	N
hemo	N
ex	J
proto	J
afro	J
ana	J
anto	N
ante	J
audio	N
mal	J
geo	J
cervico	J
ciber	N
contra	J
euro	J
acui	N
meso	N
re	J
neo	N
astro	J
per	J
post	N
de	N
oculo	J
extra	V
cuneo	J
radio	J
semi	N
gleno	J
cuatri	J
hepato	N
de	V
naso	J
ilio	J
circun	V
equi	N
co	J
contra	V
occipito	J
dis	J
circun	N
exo	N
nano	N
son	V
super	J
ante	R
recto	J
neuro	J
psico	V
macro	N
micro	J
hipo	J
arqui	J
hispano	N
braquio	J
trans	V
video	N
mono	J
agro	J
proto	N
franco	J
hispano	J
luso	J
centi	N
deci	N
zepto	N
postero	J
supero	J
infero	J
entre	N
archi	J
termo	N
calco	N
bio	V
tetra	N
ferro	J
retro	V
sero	J
neumo	N
colo	J
vice	J
auto	V
com	N
mega	J
epi	J
servo	N
halo	N
anarco	N
tele	V
vesico	J
coraco	J
costo	J
anglo	J
anglo	N
crono	J
crono	N
visco	J
ab	N
braqui	N
greco	J
hiper	J
quimio	J
oto	N
pos	J
pro	V
pro	J
tardo	N
mico	N
diplo	J
pluri	N
angio	N
atero	N
histo	N
judeo	J
morfo	N
crio	V
trans	N
ciber	V
multi	N
dendro	N
auri	J
para	N
menisco	J
super	V
tetra	J
cuadri	J
lacto	N
paleo	J
teno	N
gineco	N
geo	V
inmuno	J
geo	R
paleo	N
cefalo	J
osteo	J
lumbo	J
andro	J
bronco	N
necro	N
cripto	N
seudo	J
afro	N
di	J
humero	J
aero	V
anarco	J
cito	J
tardo	J
pluri	V
lito	N
auriculo	J
cloro	N
calcaneo	J
calloso	J
requete	J
espleno	J
esfeno	J
pterigo	J
dermo	J
epi	N
esquizo	J
ento	J
oligo	J
lenticulo	J
talamo	J
astragalo	J
oro	J
aortico	J
esterno	J
estilo	J
gloso	J
ileo	J
isquio	J
musculo	J
radio	V
estereo	N
omo	J
naso	N
sacro	J
tibio	J
tiro	J
toraco	J
vestibulo	J
rino	N
sico	J
extra	N
penta	J
nefro	N
linfo	J
traqueo	N
hepato	J
traqueo	J
angio	J
sero	N
tele	J
espondilo	N
femoro	J
fibro	J
etno	J
austro	J
meso	J
pro	N
tiro	N
an	N
giga	N
foto	V
es	J
res	V
sor	V
cis	N
yotta	N
zetta	N
exa	N
milli	N
pico	N
femto	N
atto	N
yocto	N
dodeca	N
sarco	N
inter	V
nivo	J
em	V
peta	N
tera	N
xeno	N
icosa	N
moto	N
zoo	N
clepto	J
eka	N
soto	N
narco	J
dia	N
iso	J
sindio	J
di	V
etno	N
masto	N
ab	V
muco	J
geli	N
plati	N
endo	N
ana	N
ambi	N
ecto	J
nor	J
sur	J
derm	N
oro	N
infra	N
lecto	N
i	J
im	N
cuasi	N
en	R
sud	J
cardio	N
sota	N
entre	J
equi	V
ali	J
em	N
fono	N
hepta	N
mala	N
en	J
turbo	N
ir	J
tri	V
infra	V
hexa	J
antropo	N
video	V
im	J
imp	N
des	R
i	N
nor	N
nord	N
sud	N
crio	N
anfi	J
aniso	N
antropo	J
baro	N
tras	J
denti	J
so	J
andro	N
espeleo	N
buro	N
gastr	N
arqueo	J
idem	J
galvano	N
com	V
cachi	N
hemato	J
mielo	J
macro	J
eco	J
ciber	J
arqueo	N
estereo	J
condro	J
peri	N
mielo	N
rino	J
