affix	base_pos	deriv_pos
ab	J	J
a	J	J
in	J	J
homo	J	J
multi	J	J
hetero	J	J
bi	J	J
anti	N	J
des	V	V
kilo	N	N
ante	N	R
ultra	N	N
cromo	N	N
a	N	N
re	V	V
anti	J	J
quiro	N	N
micro	N	N
circun	J	J
uni	J	J
re	N	N
aero	N	N
uro	J	J
anti	N	N
homeo	N	N
para	J	J
com	J	N
narco	N	N
a	V	V
tele	N	N
auto	N	N
des	J	N
per	V	V
sobre	V	V
mal	N	N
super	N	N
in	N	N
des	N	N
inter	J	J
extra	J	J
ex	N	N
en	V	V
uni	N	J
cardio	J	J
antero	J	J
pan	N	N
pan	J	N
audio	J	J
osteo	N	N
neo	J	J
es	N	N
pre	N	N
pre	J	J
con	V	V
dis	V	V
co	V	V
pre	V	V
des	J	V
entre	V	V
es	V	V
des	V	J
dis	N	N
mal	V	V
re	N	V
so	V	V
sub	V	V
tras	V	V
sobre	N	N
bio	J	J
gastro	J	J
gastro	N	N
deca	N	N
sub	J	J
anglo	N	J
post	J	J
tri	J	J
hiper	N	N
a	R	R
foto	N	N
vice	J	N
foto	J	J
bis	N	N
tras	N	N
astro	N	N
tecno	J	J
per	N	N
ferro	N	N
radio	N	N
auto	J	N
oligo	N	N
sobre	J	J
eco	N	N
fito	J	J
entero	N	N
endo	J	J
electro	J	J
inter	N	N
supra	J	J
neuro	N	N
homo	N	N
sub	N	N
agro	N	N
hetero	N	N
com	V	N
socio	J	J
afro	N	J
pan	J	J
mili	N	N
hecto	N	N
ciclo	N	N
adeno	N	N
bi	N	N
en	N	V
an	J	J
contra	N	J
psico	N	N
hispano	N	J
omni	N	N
omni	J	J
con	N	V
archi	N	N
in	V	V
bio	N	J
des	N	J
contra	N	N
hidro	N	N
en	N	N
retro	J	J
cerebro	J	J
arqui	N	N
intra	J	J
pos	N	N
anfi	N	N
lipo	N	N
mini	N	N
orbito	J	J
des	J	J
mal	J	N
anti	J	N
a	J	V
parieto	J	J
cachi	N	J
ante	N	N
psico	J	J
infra	J	J
electro	J	N
poli	N	N
ante	V	V
co	N	N
ante	V	J
cosmo	N	N
fisio	N	N
ultra	J	J
des	N	V
peri	J	J
auto	J	J
oligo	J	N
trans	J	J
utero	J	J
co	J	N
pluri	J	J
hemato	N	N
vice	N	N
ítalo	J	J
dorso	J	J
bio	N	N
euro	N	N
fronto	J	J
meta	J	J
narco	J	N
retro	N	N
quimio	N	N
hipo	N	N
inter	N	J
tri	N	N
bio	J	N
helio	J	J
semi	J	J
pseudo	N	N
supra	N	N
poli	J	J
geo	N	N
condro	N	N
fito	N	N
mega	N	N
termo	J	J
electro	N	N
inmuno	N	N
hidro	J	J
aero	J	J
genito	J	J
quilo	N	N
fosfo	N	N
piro	N	N
mono	N	N
glico	N	N
con	N	N
adreno	J	J
seudo	N	N
xilo	N	N
meta	N	N
pseudo	J	J
bacterio	N	N
archi	V	N
a	N	J
di	N	N
organo	N	N
cito	N	N
penta	N	N
ciano	N	N
hemo	N	N
organo	V	N
ex	J	J
re	V	N
proto	J	J
afro	J	J
ana	J	J
anto	N	N
ante	J	J
re	V	J
audio	N	N
multi	N	J
alo	J	N
xeno	J	N
mal	J	J
eco	J	N
geo	J	J
coraco	J	N
braquio	J	N
cervico	J	J
astro	N	J
ciber	N	N
contra	J	J
mono	N	J
euro	J	J
acui	N	N
meso	N	N
re	J	J
neo	N	N
astro	J	J
in	J	N
per	J	J
post	N	N
de	N	N
oculo	J	J
extra	V	V
cuneo	J	J
radio	J	J
sobre	V	J
in	N	J
semi	N	N
re	J	N
tele	J	N
gleno	J	J
cuatri	J	J
hepato	N	N
de	V	V
naso	J	J
ilio	J	J
circun	V	V
equi	N	N
co	J	J
contra	V	V
occipito	J	J
micro	J	N
contra	J	N
dis	J	J
re	N	R
circun	N	N
exo	N	N
nano	N	N
son	V	V
en	V	N
des	V	N
super	J	J
ante	R	R
recto	J	J
proto	J	N
ultra	J	N
neuro	J	J
psico	V	V
macro	N	N
micro	J	J
hipo	J	J
arqui	J	J
hispano	N	N
braquio	J	J
trans	V	V
video	N	N
sobre	N	J
mono	J	J
a	N	V
agro	J	J
proto	N	N
franco	J	J
hispano	J	J
luso	J	J
centi	N	N
deci	N	N
zepto	N	N
postero	J	J
requete	N	R
supero	J	J
trans	N	V
infero	J	J
entre	N	N
archi	J	J
mal	V	J
in	V	J
termo	N	N
calco	N	N
poli	J	N
bio	V	V
tetra	N	N
ex	J	N
ferro	J	J
termo	N	J
geo	N	J
retro	V	V
sero	J	J
neumo	N	N
colo	J	J
vice	J	J
auto	V	V
com	N	N
con	J	N
super	N	J
mega	J	J
epi	J	J
servo	N	N
halo	N	N
anarco	N	N
anarco	J	N
sub	N	J
pro	N	J
tele	V	V
vesico	J	J
coraco	J	J
costo	J	J
anglo	J	J
anglo	N	N
super	J	N
crono	J	J
crono	N	N
visco	J	J
filo	N	J
ab	N	N
braqui	N	N
trans	N	J
bi	N	J
agro	N	J
greco	J	J
ciber	J	N
hiper	J	J
auto	V	J
quimio	J	J
oto	N	N
pos	J	J
pro	V	V
pos	N	J
pro	J	J
tardo	N	N
mico	N	N
diplo	J	J
pluri	N	N
angio	N	N
anglo	J	N
supra	J	N
atero	N	N
histo	N	N
judeo	J	J
morfo	N	N
crio	V	V
trans	N	N
sobre	J	N
infra	V	J
ciber	V	V
en	V	J
multi	N	N
dendro	N	N
anti	V	J
auri	J	J
narco	V	N
para	N	N
menisco	J	J
inmuno	N	J
super	V	V
tetra	J	J
cuadri	J	J
lacto	N	N
paleo	J	J
teno	N	N
gineco	N	N
