affix	base_pos	deriv_pos
eco	N	J
avo	N	N
ante	V	J
dora	V	N
al	N	J
eño	N	J
osis	J	N
ario	N	J
ista	N	J
ense	N	J
al	V	J
ense	N	N
ero	N	N
ito	N	N
ido	V	N
ita	N	N
mento	V	N
ado	V	N
dor	N	N
anza	N	N
mente	J	R
ía	N	N
cito	N	N
ante	V	N
or	J	N
ón	V	J
ura	J	N
ción	V	N
ar	N	J
ar	V	J
ar	J	V
ano	N	N
ano	N	J
able	V	J
ería	N	N
ar	N	V
or	N	N
miento	V	N
al	J	J
al	N	N
ear	N	V
ino	J	J
itis	N	N
és	N	J
illo	N	N
illa	N	N
ero	N	J
ismo	V	N
ada	N	N
dad	J	N
ita	N	J
ito	J	J
izar	J	V
ón	N	N
í	N	J
dor	V	J
ino	N	J
illo	J	N
o	N	J
ez	J	N
ita	R	R
ito	J	N
udo	N	J
ico	N	J
era	N	N
oso	V	J
io	N	N
io	J	N
uria	N	N
ismo	J	N
uno	N	J
ible	V	J
dor	N	J
mente	N	R
oso	N	J
ear	V	V
ino	N	N
ado	N	J
ete	N	N
ista	N	N
dor	V	N
eta	V	N
ete	V	N
il	J	J
ería	J	N
dura	V	N
zón	V	N
sco	N	J
ear	J	V
ial	N	J
eno	N	J
eza	J	N
a	J	N
ido	N	J
ivo	N	J
ar	V	V
ante	J	J
dero	V	N
able	N	J
anza	V	N
iano	N	J
idad	J	N
ero	V	J
aje	V	N
ía	J	N
encia	V	N
aje	R	N
ismo	N	N
ado	N	N
tad	N	N
eta	N	N
ín	N	N
miento	N	N
uelo	N	N
ura	N	N
azgo	N	N
izar	N	V
aje	N	N
acho	J	N
idad	N	N
ción	J	N
iego	N	J
ecer	J	V
il	N	N
ez	N	N
logía	N	N
ecer	N	V
osis	N	N
azo	N	N
ina	N	N
illa	J	N
ón	V	N
ote	N	N
engo	N	N
edad	J	N
dero	V	J
il	N	J
azgo	V	N
al	J	N
ido	V	J
era	J	N
a	N	N
dad	N	N
ón	N	J
ota	N	N
isco	N	J
ato	N	N
uro	N	N
ente	V	J
ico	N	N
torio	V	N
án	V	J
ero	J	N
ica	N	N
ata	N	N
grafo	N	N
ina	J	N
ar	N	N
ear	R	V
ar	R	V
ado	V	J
ucho	N	N
eo	N	N
eo	V	N
azo	V	N
ivo	V	J
era	N	J
ito	N	J
ín	J	J
ia	N	N
ista	J	J
algia	N	N
ista	J	N
eño	N	N
teca	N	N
mente	R	R
ato	V	N
aco	N	J
ista	V	J
ia	J	N
se	V	V
astro	N	N
bilidad	J	N
ato	J	N
ancia	V	N
ichuela	N	N
o	V	N
izo	N	N
ante	N	J
ezno	N	N
eza	N	N
sión	V	N
ísimo	J	J
ancia	N	N
ario	N	N
dero	N	N
iente	V	J
ancia	J	N
iza	N	N
encia	J	N
ivo	J	J
eda	N	N
ino	V	J
iento	N	J
ato	J	J
ona	N	N
ificar	J	V
cita	N	N
ar	J	J
ín	V	N
ero	V	N
ico	J	J
metro	N	N
izo	V	J
scopio	N	N
iar	N	V
aja	N	N
ático	N	J
ificar	N	V
ón	J	N
uela	N	N
ío	N	N
oide	N	N
ario	V	N
tura	V	N
ería	V	N
logo	N	N
ote	J	J
ata	V	N
ada	V	J
oso	J	J
idor	V	N
emia	N	N
illa	V	N
ento	N	J
ador	V	N
ero	R	J
ador	V	J
ario	J	J
ista	V	N
izo	J	J
izo	N	J
astro	J	N
era	V	N
dumbre	V	N
eo	N	J
dora	V	J
or	V	N
mente	V	R
oide	J	J
ido	N	N
blasto	N	N
áceo	N	J
céntrico	N	J
osa	N	N
ada	V	N
ción	N	N
aca	J	J
sco	J	J
ano	J	J
sco	J	N
ente	V	N
ero	J	J
cida	N	J
asa	N	N
dumbre	J	N
rrea	N	N
icio	N	J
oma	N	N
torio	V	J
anga	J	N
ura	V	N
eño	R	J
grafía	N	N
cillo	N	N
ilo	N	J
dor	J	J
cito	J	N
oide	N	J
oideo	N	J
eño	J	J
ato	N	J
uco	N	N
azo	J	N
ecillo	N	N
áceo	J	J
ectomía	N	N
tomía	N	N
ectomía	J	N
scopia	N	N
cilla	N	N
tecnia	N	N
logía	J	N
ito	J	R
iano	J	J
udo	J	J
ota	N	J
grama	N	N
ona	N	J
ico	V	J
ismo	R	N
esco	N	J
geno	V	N
ina	N	J
ento	J	J
ón	R	J
oide	J	N
sco	N	N
ín	N	J
iche	N	N
ión	N	N
o	N	N
uza	N	N
itud	J	N
eja	N	N
eta	J	N
ón	J	J
ario	J	N
ito	V	N
ote	N	J
ajo	V	N
ata	J	J
ía	R	N
ota	V	J
ego	N	J
duría	V	N
ida	V	N
ífico	N	J
ejo	N	N
neta	N	N
cidio	N	N
esco	J	J
uzco	J	J
cino	J	J
usco	J	J
idad	R	N
ífero	N	J
isto	N	N
tico	N	J
dor	J	N
ucha	N	N
patía	N	N
año	N	N
metría	N	N
manía	N	N
geno	N	N
ísimo	R	J
cola	N	J
illo	J	J
aje	J	N
ucho	J	J
etón	J	J
dura	N	J
ata	V	J
edad	N	N
mano	N	J
leta	V	N
ezno	N	J
ing	N	N
filo	N	N
tero	N	N
cillo	J	J
ucho	N	J
ita	J	N
elo	N	N
dura	N	N
alla	N	N
azgo	J	N
ejo	J	J
tura	N	N
geno	N	J
uelo	J	N
ístico	R	J
esa	N	N
edad	V	N
icia	J	N
ada	J	N
erio	N	N
ajo	J	N
ito	R	J
miento	J	N
ístico	N	J
fobo	N	J
illo	N	J
fono	N	N
ajo	N	N
ona	V	N
císimo	J	J
alla	J	N
uria	J	N
ales	J	N
una	N	N
aza	N	N
cida	N	N
ela	N	N
pata	N	N
ín	J	N
iente	N	J
ación	V	N
eo	J	N
ación	N	N
ecita	N	N
ín	V	J
areda	N	N
cracia	J	N
uca	N	N
fono	J	J
ado	J	N
ista	R	J
cito	J	J
torio	N	J
arraco	N	N
filia	N	N
iego	V	J
araz	N	J
able	N	N
ete	J	J
atario	V	J
ete	J	N
ización	N	N
e	V	N
es	N	N
dromo	N	N
avo	N	J
logo	N	J
zuelo	N	N
il	J	N
ificar	V	V
fago	N	N
metro	J	N
cecillo	N	N
cecito	N	N
iego	V	N
filo	J	N
orro	N	N
iedad	J	N
ísimo	N	N
ica	R	R
eno	J	J
orra	N	N
metro	V	N
cracia	N	N
burgo	N	N
landia	N	N
fobia	J	N
itud	N	N
orrio	N	N
ejón	N	N
ino	R	J
izar	V	V
ría	N	N
